Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
less than 0 DM,6,critical account/other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,more than 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,48,existing credits paid back duly till now,radio/television,5951,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,Bad
no checking account,12,critical account/other credits existing (not at this bank),education,2096,less than 100 DM,between 4 to 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,Good
less than 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,less than 100 DM,between 4 to 7 years,2,male : single,gaurantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee / official,2,none,yes,Good
less than 0 DM,24,delay in paying off in the past,car (new),4870,less than 100 DM,between 1 to 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,Bad
no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,between 1 to 4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,Good
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,between 500 to 1000 DM,more than 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,car (used),6948,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,3059,more than 1000 DM,between 4 to 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,30,critical account/other credits existing (not at this bank),car (new),5234,less than 100 DM,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/self-employed/highly qualified employee/ officer,1,none,yes,Bad
between 0 to 200 DM,12,existing credits paid back duly till now,car (new),1295,less than 100 DM,less than 1 year,3,female : divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,48,existing credits paid back duly till now,business,4308,less than 100 DM,less than 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,1567,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,24,critical account/other credits existing (not at this bank),car (new),1199,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes,Bad
less than 0 DM,15,existing credits paid back duly till now,car (new),1403,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,24,existing credits paid back duly till now,radio/television,1282,between 100 to 500 DM,between 1 to 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee / official,1,none,yes,Good
less than 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,less than 1 year,2,male : single,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,car (used),12579,less than 100 DM,more than 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,24,existing credits paid back duly till now,radio/television,3430,between 500 to 1000 DM,more than 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,9,critical account/other credits existing (not at this bank),car (new),2134,less than 100 DM,between 1 to 4 years,4,male : single,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,6,existing credits paid back duly till now,radio/television,2647,between 500 to 1000 DM,between 1 to 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,Good
less than 0 DM,10,critical account/other credits existing (not at this bank),car (new),2241,less than 100 DM,less than 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,Good
between 0 to 200 DM,12,critical account/other credits existing (not at this bank),car (used),1804,between 100 to 500 DM,less than 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,10,critical account/other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,between 1 to 4 years,2,male : married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no,Good
less than 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,less than 100 DM,between 1 to 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,less than 100 DM,more than 7 years,4,male : married/widowed,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,more than 1000 DM,between 1 to 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,7,existing credits paid back duly till now,radio/television,2415,less than 100 DM,between 1 to 4 years,3,male : single,gaurantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,60,delay in paying off in the past,business,6836,less than 100 DM,more than 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,18,existing credits paid back duly till now,business,1913,more than 1000 DM,less than 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,18,existing credits paid back duly till now,car (new),5866,between 100 to 500 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,critical account/other credits existing (not at this bank),business,1264,unknown/ no savings account,more than 7 years,4,male : single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
